Namn,Dag,Månad
Ida,14,9
Ronja,14,9
Sigrid,15,9
Siri,15,9
Dag,16,9
Daga,16,9
Hildegard,17,9
Magnhild,17,9
Orvar,18,9
Fredrika,19,9
Elise,20,9
Lisa,20,9
Matteus,21,9
Maurits,22,9
Moritz,22,9
Tea,23,9
Tekla,23,9
Gerhard,24,9
Gert,24,9
Tryggve,25,9
Einar,26,9
Enar,26,9
Dagmar,27,9
Rigmor,27,9
Lennart,28,9
Leonard,28,9
Mikael,29,9
Mikaela,29,9
Helge,30,9
Ragna,1,10
Ragnar,1,10
Love,2,10
Ludvig,2,10
Evald,3,10
Osvald,3,10
Frank,4,10
Frans,4,10
Bror,5,10
Jennifer,6,10
Jenny,6,10
Birgitta,7,10
Britta,7,10
Nils,8,10
Inger,9,10
Ingrid,9,10
Harriet,10,10
Harry,10,10
Erling,11,10
Jarl,11,10
Manfred,12,10
Valfrid,12,10
Berit,13,10
Birgit,13,10
Stellan,14,10
Hedvig,15,10
Hillevi,15,10
Finn,16,10
Antonia,17,10
Toini,17,10
Lukas,18,10
Tor,19,10
Tore,19,10
Sibylla,20,10
Ursula,21,10
Yrsa,21,10
Marika,22,10
Marita,22,10
Severin,23,10
Sören,23,10
Eilert,24,10
Evert,24,10
Inga,25,10
Ingalill,25,10
Amanda,26,10
Rasmus,26,10
Sabina,27,10
Simon,28,10
Simone,28,10
Viola,29,10
Elsa,30,10
Isabella,30,10
Edgar,31,10
Edit,31,10
Tobias,2,11
Hubert,3,11
Hugo,3,11
Sverker,4,11
Eugen,5,11
Eugenia,5,11
Gustav Adolf,6,11
Ingegerd,7,11
Ingela,7,11
Vendela,8,11
Teodor,9,11
Teodora,9,11
Martin,10,11
Martina,10,11
Mårten,11,11
Konrad,12,11
Kurt,12,11
Krister,13,11
Kristian,13,11
Emil,14,11
Emilia,14,11
Leopold,15,11
Vibeke,16,11
Viveka,16,11
Naemi,17,11
Naima,17,11
Lillemor,18,11
Moa,18,11
Elisabet,19,11
Lisbet,19,11
Marina,20,11
Pontus,20,11
Helga,21,11
Olga,21,11
Cecilia,22,11
Sissela,22,11
Klemens,23,11
Gudrun,24,11
Rune,24,11
Katarina,25,11
Katja,25,11
Linus,26,11
Asta,27,11
Astrid,27,11
Malte,28,11
Sune,29,11
Anders,30,11
Andreas,30,11
Oskar,1,12
Ossian,1,12
Beata,2,12
Beatrice,2,12
Lydia,3,12
Barbara,4,12
Barbro,4,12
Sven,5,12
Niklas,6,12
Nikolaus,6,12
Angela,7,12
Angelika,7,12
Virginia,8,12
Anna,9,12
Malena,10,12
Malin,10,12
Daniel,11,12
Daniela,11,12
Alexander,12,12
Alexis,12,12
Lucia,13,12
Sixten,14,12
Sten,14,12
Gottfrid,15,12
Assar,16,12
Stig,17,12
Abraham,18,12
Isak,19,12
Israel,20,12
Moses,20,12
Tomas,21,12
Jonatan,22,12
Natanael,22,12
Adam,23,12
Eva,24,12
Staffan,26,12
Stefan,26,12
Johan,27,12
Johannes,27,12
Benjamin,28,12
Natalia,29,12
Natalie,29,12
Abel,30,12
Set,30,12
Sylvester,31,12
